TIMESTAMP,TEMPERATURE_temp1[degC],WINDSPEED_wspd1[m/s],WINDDIR_wdir1[deg],INSOLATION_irrad1[kW/m2],INSOLATION_irrad2[kW/m2],door1,door2,doorx1,doorx2,doorx3,doorx4,doorx5,doorx6,doorx7
0,12.3,2.6,162,-0.004,0,0,0,1,1,1,1,1,1,1
1000,12.3,2.6,162,-0.004,0,0,0,1,1,1,1,1,1,1
2000,12.3,2.5,144,-0.004,0,0,0,1,1,1,1,1,1,1
3000,12.3,2.7,145,-0.004,0,0,0,1,1,1,1,1,1,1
4000,12.3,2.8,159,-0.004,0,0,0,1,1,1,1,1,1,1
5000,12.3,2.6,160,-0.004,0,0,0,1,1,1,1,1,1,1
5999,12.3,2.5,158,-0.004,0,0,0,1,1,1,1,1,1,1
7000,12.3,2.4,158,-0.004,0,0,0,1,1,1,1,1,1,1
7999,12.3,2.4,158,-0.004,0,0,0,1,1,1,1,1,1,1
8999,12.3,2.6,158,-0.004,0,0,0,1,1,1,1,1,1,1
10000,12.3,2.6,159,-0.004,0,0,0,1,1,1,1,1,1,1
10999,12.3,2.6,160,-0.004,0,0,0,1,1,1,1,1,1,1
12000,12.3,2.5,161,-0.004,0,0,0,1,1,1,1,1,1,1
13000,12.3,2.8,162,-0.004,0,0,0,1,1,1,1,1,1,1
13999,12.3,2.8,165,-0.004,0,0,0,1,1,1,1,1,1,1
15000,12.3,2.5,165,-0.004,0,0,0,1,1,1,1,1,1,1
16000,12.3,2.3,162,-0.004,0,0,0,1,1,1,1,1,1,1
16999,12.3,2.3,161,-0.004,0,0,0,1,1,1,1,1,1,1
18001,12.3,2.3,162,-0.004,0,0,0,1,1,1,1,1,1,1
18999,12.3,2.3,163,-0.004,0,0,0,1,1,1,1,1,1,1
19999,12.3,2.3,165,-0.004,0,0,0,1,1,1,1,1,1,1
20999,12.3,2.1,166,-0.004,0,0,0,1,1,1,1,1,1,1
22000,12.3,2,163,-0.004,0,0,0,1,1,1,1,1,1,1
22999,12.3,2,169,-0.004,0,0,0,1,1,1,1,1,1,1
23999,12.3,2.1,166,-0.004,0,0,0,1,1,1,1,1,1,1
25000,12.3,2.2,167,-0.004,0,0,0,1,1,1,1,1,1,1
