TIMESTAMP,TEMPERATURE_temp1[degC],WINDSPEED_wspd1[m/s],WINDDIR_wdir1[deg],INSOLATION_irrad1[kW/m2],INSOLATION_irrad2[kW/m2]
0,12.3,2.6,162,-0.004,0
1000,12.3,2.6,162,-0.004,0
2000,12.3,2.5,144,-0.004,0
3000,12.3,2.7,145,-0.004,0
4000,12.3,2.8,159,-0.004,0
5000,12.3,2.6,160,-0.004,0
5999,12.3,2.5,158,-0.004,0
7000,12.3,2.4,158,-0.004,0
7999,12.3,2.4,158,-0.004,0
8999,12.3,2.6,158,-0.004,0
10000,12.3,2.6,159,-0.004,0
10999,12.3,2.6,160,-0.004,0
12000,12.3,2.5,161,-0.004,0
13000,12.3,2.8,162,-0.004,0
13999,12.3,2.8,165,-0.004,0
15000,12.3,2.5,165,-0.004,0
16000,12.3,2.3,162,-0.004,0
16999,12.3,2.3,161,-0.004,0
18001,12.3,2.3,162,-0.004,0
18999,12.3,2.3,163,-0.004,0
19999,12.3,2.3,165,-0.004,0
20999,12.3,2.1,166,-0.004,0
22000,12.3,2,163,-0.004,0
22999,12.3,2,169,-0.004,0
23999,12.3,2.1,166,-0.004,0
25000,12.3,2.2,167,-0.004,0
26000,12.3,2.2,164,-0.004,0
26999,12.3,2.2,165,-0.004,0
27999,12.3,2.2,157,-0.004,0
28999,12.3,2.4,157,-0.004,0
30000,12.3,2.4,161,-0.004,0
31000,12.3,2.7,161,-0.004,0
31999,12.3,2.8,161,-0.004,0
32999,12.3,2.6,158,-0.004,0
33999,12.3,2.4,154,-0.004,0
35000,12.3,2.3,164,-0.004,0
36000,12.3,2.4,158,-0.004,0
37000,12.3,2.5,158,-0.004,-0.002
38000,12.3,2.8,157,-0.004,0
39000,12.3,2.8,147,-0.004,0
40000,12.3,2.9,160,-0.004,0
41001,12.3,3.1,161,-0.004,0
42000,12.3,3,161,-0.004,0
43000,12.3,2.9,160,-0.004,0
44000,12.3,2.9,160,-0.004,-0.002
44999,12.3,2.8,161,-0.004,0
46001,12.3,2.8,163,-0.004,-0.002
46999,12.3,2.8,163,-0.004,0
48001,12.3,2.8,153,-0.004,0
49000,12.3,2.8,147,-0.004,0
50000,12.3,2.7,146,-0.004,0
51000,12.3,2.7,146,-0.004,0
51999,12.3,2.7,150,-0.004,0
53000,12.3,2.6,161,-0.004,0
53999,12.3,2.9,156,-0.004,0
55000,12.3,3,160,-0.004,0
56000,12.3,2.9,158,-0.004,0
57000,12.3,2.7,158,-0.004,0
57999,12.3,2.7,157,-0.004,0
59000,12.3,2.6,153,-0.004,0
60000,12.3,2.4,153,-0.004,0
60999,12.3,2.4,153,-0.004,0
62000,12.3,2.5,153,-0.004,0
62999,12.3,2.6,152,-0.004,0
64001,12.3,2.7,152,-0.004,0
64999,12.3,2.6,154,-0.004,0
65999,12.3,2.8,157,-0.004,0
66999,12.3,2.9,160,-0.004,0
68000,12.3,2.9,155,-0.004,0
69000,12.3,2.7,149,-0.004,0
70000,12.3,2.8,153,-0.004,0
70999,12.3,3,156,-0.004,0
72000,12.3,3,158,-0.004,0
72999,12.3,2.9,164,-0.004,0
73999,12.3,2.9,165,-0.004,0
74999,12.3,3,164,-0.004,0
76000,12.3,2.8,164,-0.004,0
76999,12.3,2.5,162,-0.004,0
78000,12.3,2.4,155,-0.004,0
78999,12.3,2.4,155,-0.004,0
79999,12.3,2.5,154,-0.004,-0.002
81000,12.3,2.7,155,-0.004,0
82000,12.3,2.7,155,-0.004,0
83000,12.3,2.7,162,-0.004,-0.002
83999,12.3,2.6,162,-0.004,0
84999,12.3,2.7,162,-0.004,-0.002
86000,12.3,2.5,169,-0.004,0
86999,12.3,2.4,169,-0.004,0
88000,12.3,2.2,167,-0.004,0
89000,12.3,2.2,166,-0.004,0
90000,12.3,2.3,150,-0.004,0
90999,12.3,2.4,140,-0.004,0
92001,12.3,2.1,140,-0.004,0
92999,12.3,2,141,-0.004,0
94000,12.3,2.1,147,-0.004,0
95000,12.3,2.3,149,-0.004,0
96000,12.3,2.5,149,-0.004,0
96999,12.3,2.8,148,-0.004,0
98000,12.3,2.9,147,-0.004,0
99001,12.3,2.9,154,-0.004,0
100000,12.3,2.9,160,-0.004,0
101000,12.3,2.9,161,-0.004,0
102000,12.3,2.8,159,-0.004,0
103000,12.3,2.8,159,-0.004,0
104000,12.3,2.9,159,-0.004,0
104999,12.3,3.1,159,-0.004,0
105999,12.3,3.2,163,-0.004,0
106999,12.3,3.4,162,-0.004,0
108000,12.3,3,159,-0.004,0
108999,12.3,3.2,162,-0.004,0
110000,12.3,3.1,162,-0.004,0
110999,12.3,3,161,-0.004,0
111999,12.3,2.9,163,-0.004,0
112999,12.3,3,166,-0.004,0
113999,12.3,2.8,163,-0.004,0
115000,12.3,2.5,164,-0.004,0
116000,12.3,2.4,163,-0.004,0
117000,12.3,2.4,153,-0.004,0
117999,12.3,2.4,153,-0.004,0
118999,12.3,2.3,153,-0.004,0
119999,12.3,2.2,153,-0.004,0
121000,12.3,2.2,153,-0.004,0
122000,12.3,2.2,153,-0.004,-0.002
123000,12.3,2.4,153,-0.004,0
123999,12.3,2.2,153,-0.004,0
124999,12.3,2.2,154,-0.004,0
126000,12.3,2.3,154,-0.004,0
127000,12.3,2.3,155,-0.004,0
128000,12.3,2.5,161,-0.004,0
129000,12.3,2.6,160,-0.004,0
130000,12.3,2.6,154,-0.004,0
131000,12.3,2.6,154,-0.004,0
131999,12.3,2.5,151,-0.004,0
133000,12.3,2.5,152,-0.004,0
133999,12.3,2.5,152,-0.004,0
135000,12.3,2.5,153,-0.004,0
136000,12.3,2.7,154,-0.004,0
136999,12.3,2.6,156,-0.004,0
137999,12.3,2.8,157,-0.004,0
139000,12.3,2.6,153,-0.004,0
140000,12.3,2.7,150,-0.004,0
141000,12.3,2.7,154,-0.004,0
142000,12.3,2.8,154,-0.004,0
143000,12.3,2.6,155,-0.004,0
143999,12.3,2.3,156,-0.004,0
145000,12.3,2.4,153,-0.004,0
146001,12.3,2.4,154,-0.004,0
147000,12.3,2.6,153,-0.004,0
148000,12.3,2.7,165,-0.004,0
149000,12.3,3,160,-0.004,0
149999,12.3,2.9,153,-0.004,0
150999,12.3,2.9,150,-0.004,0
152000,12.3,2.8,150,-0.004,0
152999,12.3,2.8,161,-0.004,0
154000,12.3,2.7,158,-0.004,0
155000,12.3,2.7,155,-0.004,0
156000,12.3,2.9,155,-0.004,0
156999,12.3,3,150,-0.004,0
157999,12.3,3.2,149,-0.004,0
159000,12.3,3.2,150,-0.004,0
160000,12.3,3.1,150,-0.004,-0.002
161000,12.3,3,151,-0.004,0
162000,12.3,2.8,151,-0.004,0
162999,12.3,2.9,152,-0.004,0
164000,12.3,3,159,-0.004,0
165000,12.3,2.6,153,-0.004,0
165999,12.3,2.4,150,-0.004,0
167000,12.3,2.3,149,-0.004,0
168000,12.3,2.3,149,-0.004,-0.002
169000,12.3,2.5,150,-0.004,0
169999,12.3,2.7,150,-0.004,0
170999,12.3,2.6,149,-0.004,0
172000,12.3,2.6,156,-0.004,0
173000,12.3,2.8,157,-0.004,0
173999,12.3,2.7,157,-0.004,0
175000,12.3,2.5,154,-0.004,0
176000,12.3,2.6,159,-0.004,0
177000,12.3,2.8,152,-0.004,0
178000,12.3,2.8,164,-0.004,0
178999,12.3,2.9,169,-0.004,0
180000,12.3,2.9,160,-0.004,0
181000,12.3,2.8,156,-0.004,0
181999,12.3,2.7,147,-0.004,0
182999,12.3,2.5,147,-0.004,0
184000,12.3,2.4,147,-0.004,0
184999,12.3,2.5,151,-0.004,0
186000,12.3,2.8,153,-0.004,0
186999,12.3,3,152,-0.004,0
188000,12.3,2.9,153,-0.004,0
189000,12.3,2.9,157,-0.004,0
190001,12.3,3.2,162,-0.004,0
191000,12.3,3.2,163,-0.004,0
192000,12.3,3.2,163,-0.004,0
193000,12.3,3.1,163,-0.004,0
193999,12.4,3,165,-0.004,0
195000,12.3,2.8,159,-0.004,0
196000,12.3,2.7,155,-0.004,-0.002
196999,12.3,2.7,156,-0.004,0
198000,12.3,2.7,156,-0.004,0
199000,12.3,2.6,157,-0.004,0
200000,12.3,2.7,161,-0.004,0
200999,12.3,2.6,161,-0.004,0
202000,12.3,2.7,160,-0.004,0
202999,12.3,2.6,159,-0.004,0
203999,12.3,2.6,162,-0.004,0
205000,12.3,2.8,162,-0.004,0
205999,12.3,3.1,164,-0.004,0
207000,12.3,3.1,164,-0.004,-0.002
208000,12.3,2.9,163,-0.004,-0.002
208999,12.4,2.7,159,-0.004,0
210000,12.3,2.6,158,-0.004,0
211000,12.4,2.7,158,-0.004,0
211999,12.4,2.7,157,-0.004,0
213000,12.4,2.6,157,-0.004,0
213999,12.4,2.5,157,-0.004,0
215000,12.3,2.5,158,-0.004,0
216000,12.3,2.3,153,-0.004,0
217000,12.3,2.3,161,-0.004,0
218001,12.3,2.1,160,-0.004,0
219000,12.3,2,160,-0.004,0
220000,12.3,2,159,-0.004,0
221000,12.3,2.3,156,-0.004,0
221999,12.3,2.5,150,-0.004,0
223000,12.4,2.6,150,-0.004,0
223999,12.3,2.7,151,-0.004,0
225001,12.4,2.7,151,-0.004,0
226000,12.4,2.7,158,-0.004,0
227000,12.4,2.6,159,-0.004,0
228000,12.3,2.5,161,-0.004,0
229000,12.3,2.4,167,-0.004,0
230000,12.4,2.3,162,-0.004,0
230999,12.3,2.2,160,-0.004,0
232000,12.3,2.2,160,-0.004,0
233000,12.3,2.3,157,-0.004,0
233999,12.3,2.2,154,-0.004,0
234999,12.3,2.2,154,-0.004,0
236001,12.3,2.4,154,-0.004,0
236999,12.4,2.4,150,-0.004,0
237999,12.3,2.7,135,-0.004,0
239000,12.4,2.8,139,-0.004,0
240000,12.4,2.7,139,-0.004,0
241000,12.4,2.4,139,-0.004,0
242001,12.3,2.2,139,-0.004,0
242999,12.4,2.2,144,-0.004,0
243999,12.4,2,157,-0.004,0
244999,12.4,2.1,155,-0.004,0
246000,12.4,2.1,155,-0.004,-0.002
247000,12.4,2.3,155,-0.004,0
247999,12.4,2.5,161,-0.004,-0.002
249000,12.3,2.6,161,-0.004,0
249999,12.3,2.6,160,-0.004,0
250999,12.3,2.4,159,-0.004,0
252001,12.3,2.3,160,-0.004,0
253000,12.4,2.3,151,-0.004,0
253999,12.3,2.1,150,-0.004,0
255000,12.3,2,150,-0.004,0
255999,12.3,2.2,151,-0.004,0
257000,12.3,2.3,152,-0.004,0
258000,12.3,2.3,151,-0.004,0
259000,12.4,2.3,151,-0.004,0
260000,12.4,2.2,151,-0.004,0
261000,12.4,2.4,151,-0.004,0
262000,12.3,2.5,151,-0.004,0
262999,12.3,2.7,151,-0.004,0
264001,12.4,2.7,153,-0.004,0
265002,12.4,2.8,154,-0.004,0
266000,12.4,2.6,153,-0.004,0
267000,12.4,2.7,153,-0.004,0
267999,12.4,2.7,145,-0.004,0
268999,12.3,2.7,150,-0.004,-0.002
270001,12.3,2.8,151,-0.004,0
270999,12.3,2.8,151,-0.004,0
272000,12.4,2.7,152,-0.004,0
273000,12.4,2.8,152,-0.004,0
274000,12.3,2.8,154,-0.004,0
275000,12.4,2.7,154,-0.004,0
275999,12.4,2.7,154,-0.004,0
276999,12.3,2.6,153,-0.004,0
278000,12.4,2.8,154,-0.004,0
279000,12.4,2.7,151,-0.004,0
280000,12.3,2.5,144,-0.004,0
281000,12.4,2.5,145,-0.004,0
281999,12.4,2.6,150,-0.004,0
282999,12.4,2.7,152,-0.004,0
283999,12.4,2.9,150,-0.004,0
284999,12.4,3,151,-0.004,0
286000,12.4,3,151,-0.004,0
287000,12.4,2.9,151,-0.004,0
287999,12.4,2.9,155,-0.004,0
288999,12.4,2.8,149,-0.004,0
290000,12.4,2.8,151,-0.004,0
291999,12.4,2.6,152,-0.004,0
293000,12.4,2.7,153,-0.004,0
293999,12.4,2.7,153,-0.004,0
294999,12.4,2.7,153,-0.004,0
296001,12.4,2.6,152,-0.004,0
296999,12.4,2.4,152,-0.004,0
298000,12.4,2.4,153,-0.004,0
299000,12.4,2.6,154,-0.004,0
300000,12.4,2.8,158,-0.004,0
301000,12.4,2.7,158,-0.004,0
302000,12.4,2.7,158,-0.004,0
303000,12.4,2.8,158,-0.004,0
304001,12.4,2.7,158,-0.004,0
304999,12.3,2.6,157,-0.004,0
306000,12.4,2.6,157,-0.004,0
306999,12.4,2.6,157,-0.004,0
307999,12.4,2.5,158,-0.004,0
309000,12.4,2.4,158,-0.004,0
310000,12.4,2.4,158,-0.004,0
311000,12.3,2.4,158,-0.004,0
312000,12.4,2.5,157,-0.004,0
313000,12.4,2.5,154,-0.004,0
314000,12.4,2.6,147,-0.004,0
315000,12.4,2.6,148,-0.004,0
